o1_gr_e01,A,A,1,A,1,A,1
o1_gr_e02,A,A,1,A,1,A,1
o1_gr_e03,A,A,1,A,1,A,1
o1_gr_e04,A,A,1,A,1,A,1
o1_gr_e05,A,A,1,A,1,A,1
o1_gr_e06,A,A,1,A,1,A,1
o1_gr_e07,A,A,1,A,1,A,1
o1_gr_e08,A,A,1,A,1,A,1
o1_gr_e09,A,A,1,A,1,A,1
o1_gr_e10,A,A,1,A,1,A,1
o1_gr_e11,A,A,1,A,1,A,1
o1_gr_e12,A,A,1,A,1,A,1
o2_gr_e01,C,B,0,C,1,"['B', 'C']",0
o2_gr_e02,C,B,0,C,1,"['B', 'C']",0
o2_gr_e03,C,B,0,C,1,"['B', 'C']",0
o2_gr_e04,B,B,1,B,1,B,1
o2_gr_e05,B,B1,0,B,1,B,1
o2_gr_e06,B,B1,0,B,1,B,1
o2_gr_e07,B,B,1,B,1,B,1
o2_gr_e08,B,B,1,B,1,B,1
o2_gr_e09,B,B,1,B,1,B,1
o2_gr_e10,C,B,0,C,1,"['B', 'C']",0
o2_gr_e11,C,B,0,C,1,"['B', 'C']",0
o2_gr_e12,C,B,0,C,1,"['B', 'C']",0
o3_gr_e01,B,B,1,A,0,B,1
o3_gr_e02,B,B,1,A,0,B,1
o3_gr_e03,B,B,1,A,0,B,1
o3_gr_e04,C,B,0,C,1,"['B', 'C']",0
o3_gr_e05,B,B,1,A,0,"['B', 'C']",0
o3_gr_e06,B,B,1,A,0,"['B', 'C']",0
o3_gr_e07,C,B,0,A,0,"['B', 'C']",0
o3_gr_e08,B,B,1,A,0,"['B', 'C']",0
o3_gr_e09,C,B,0,A,0,"['B', 'C']",0
o3_gr_e10,B,B,1,A,0,B,1
o3_gr_e11,B,B,1,A,0,B,1
o3_gr_e12,B,B,1,A,0,B,1
o4_gr_e01,A,A,1,A,1,A,1
o4_gr_e02,A,A,1,A,1,A,1
o4_gr_e03,A,A,1,A,1,A,1
o4_gr_e04,A,A,1,A,1,A,1
o4_gr_e05,A,A,1,A,1,A,1
o4_gr_e06,A,A,1,A,1,A,1
o4_gr_e07,A,A,1,A,1,A,1
o4_gr_e08,A,A,1,A,1,A,1
o4_gr_e09,A,A,1,A,1,A,1
o4_gr_e10,A,A,1,A,1,A,1
o4_gr_e11,A,A,1,A,1,A,1
o4_gr_e12,A,A,1,A,1,A,1
o5_gr_e01,B,B,1,A,0,B,1
o5_gr_e02,B,B,1,A,0,B,1
o5_gr_e03,B,B,1,A,0,B,1
o5_gr_e04,B,B,1,C,0,"['B', 'C']",0
o5_gr_e05,B,B,1,C,0,"['B', 'C']",0
o5_gr_e06,B,B,1,C,0,"['B', 'C']",0
o5_gr_e07,C,B1,0,A,0,"['B', 'C']",0
o5_gr_e08,B,B,1,A,0,"['B', 'C']",0
o5_gr_e09,B,B,1,A,0,"['B', 'C']",0
o5_gr_e10,B,B,1,A,0,"['B', 'C']",0
o5_gr_e11,B,B,1,A,0,"['B', 'C']",0
o5_gr_e12,C,B,0,A,0,B,0
Total,-,-,78.333,-,61.667,-,65
Success A,-,-,1,-,1,-,1
Success B,-,-,0.92,-,0.24,-,0.6
Success C,-,-,0,-,0.636,-,0
