File,Class_GT,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16
o2_gr_can ,Z,0.053,0.057,0.058,0.062,0.036,0.05,0.054,0.057,0.04,0.052,0.054,0.056,0.057,0.059,0.057,0.057
o2_gr_e01 ,D,1,1,1,1,0.717,0.673,0.422,0.539,0.039,0.183,0.21,0.394,0.979,1,1,1
o2_gr_e02 ,D,1,1,1,1,0.078,0.466,0.76,1,0.156,0.284,0.213,0.347,1,1,1,1
o2_gr_e03 ,E,1,0.878,0.168,1,0.716,0.125,0.152,1,0.306,0.081,0.179,1,1,0.414,0.178,1
o2_gr_e05 ,D,1,1,1,1,0.642,0.424,0.981,1,0.338,0.368,0.084,0.117,1,1,1,1
o2_gr_e06 ,D,1,1,1,1,0.472,0.369,0.926,0.983,0.117,0.285,0.273,0.269,1,1,1,1
o2_gr_e07 ,F,1,0.662,0.514,0.533,0.399,0.088,0.106,0.157,0.061,0.083,0.514,0.81,0.116,0.625,1,1
o2_gr_e09 ,D,1,1,1,1,0.549,0.356,0.852,0.828,0.359,0.384,0.085,0.114,1,1,1,1
o2_gr_e10 ,D,1,1,1,1,0.083,0.403,0.704,0.827,0.136,0.251,0.212,0.282,1,1,1,1
o2_gr_e11 ,E,0.925,0.653,0.541,1,0.171,0.098,0.214,1,0.284,0.109,0.29,1,1,0.481,0.139,1
o2_gr_e24 ,D,1,1,1,1,0.437,0.6,0.587,0.649,0.079,0.154,0.375,0.599,1,1,1,1
