File,Class_GT,Class_GT_n,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25
o1-01_gr_e01,B,1,0.25,0.25,0.25,0.25,0.25,0.17059433333333332,0.2129788121212121,0.23906151787878785,0.25,0.25,0.018652646621621617,0.020317874925373132,0.03719772181818181,0.04949603443037974,0.06929696271739132,0.1990961559090909,0.24307921863636361,0.25,0.23839963939393938,0.20118173166666667,0.25,0.25,0.25,0.25,0.25
o1-01_gr_e02,B,1,0.25,0.25,0.25,0.25,0.25,0.16441818878787876,0.23565818227272725,0.25,0.24544432045454545,0.23871648590909092,0.01902626999999999,0.02507253931506849,0.03928933101449273,0.058938106282051275,0.07252573269230767,0.12002957023809524,0.18703321075757576,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
o1-01_gr_e03,B,1,0.25,0.25,0.25,0.25,0.25,0.12096076923809529,0.19519677045454548,0.25,0.25,0.25,0.018423844328358235,0.02499046960526318,0.039641488695652205,0.0560740043055556,0.07127052658536587,0.1899218884848485,0.23771844893939395,0.24787328196969696,0.25,0.2448863675757576,0.25,0.25,0.25,0.25,0.25
o1-04_gr_e04,B,1,0.1828410333333333,0.18174796355555556,0.20474059777777778,0.18722399577777776,0.23265123644444444,0.08200975345454543,0.07748971871428571,0.08385917909090906,0.08866175878787873,0.097707601,0.04951320199999998,0.018557474464285684,0.0483233031111111,0.027831655593220317,0.04481798573770489,0.0731516283050847,0.0693219561428571,0.07234640589285711,0.07375775718309854,0.1198030251111111,0.17801020577777776,0.18768729822222222,0.19961991177777777,0.18963861177777777,0.24175900533333333
o1-04_gr_e05,B,1,0.23027198177777777,0.22375127755555554,0.2302232426666667,0.22729870333333335,0.25,0.09200612473684215,0.09341115012658228,0.09624849483870972,0.09615187902439029,0.13011256866666668,0.014063616000000017,0.01828972807017545,0.04643185355555557,0.02555276393442625,0.04341663083333336,0.08940282092105263,0.08589790456790124,0.0856853079310345,0.08457368741176471,0.16941061466666668,0.24334074,0.23180766888888887,0.22918134266666668,0.24522545199999998,0.25
o1-04_gr_e06,B,1,0.21073079244444445,0.20163393688888892,0.19569949977777776,0.1989346288888889,0.20543145577777777,0.08673806148936174,0.07917400985915493,0.0835401651388889,0.08112586877192984,0.07857035916666667,0.13268673044444446,0.015016254814814825,0.019565285833333338,0.04198763244444446,0.03508668239436622,0.07696746387755102,0.06572174514285715,0.06797266054794522,0.07698921285714287,0.08170605466666671,0.1968203282222222,0.1790726208888889,0.18441353111111114,0.20654206,0.24765613866666666
o1_gr_e01,A,0,0.061422981290322594,0.04820658225806453,0.03957246276595747,0.08803527186046514,0.22232281903225806,0.12617068677419355,0.058181003225806466,0.04272535921052634,0.0839722459375,0.21698746967741936,0.014563645483870982,0.015379920312500015,0.043039420750000015,0.08054816093023258,0.20662363096774192,0.016488528437500018,0.023354969722222244,0.045678449210526315,0.07708206459459462,0.19564168677419355,0.028566703863636377,0.04088294759259262,0.05630011360000001,0.07492443617021277,0.1571947719354839
o1_gr_e02,A,0,0.07369940548387095,0.00691340555555553,0.027292681428571414,0.06268626261904761,0.20080944096774192,0.09583989258064515,0.09400745677419353,0.026654551764705853,0.07106113290322578,0.19444345870967739,0.006897802058823508,0.020810545806451596,0.030374233421052617,0.05836299722222222,0.15083719645161292,0.02044739648648647,0.023444116857142837,0.03643545911764705,0.060363783529411755,0.15576592838709674,0.04444924956521738,0.05047834127272724,0.05454334622222221,0.06397127142857138,0.09601998612903224
o1_gr_e03,A,0,0.02288344451612901,0.022819107352941157,0.04959312507936507,0.08298218423076925,0.15421051612903222,0.03672480967741934,0.07557062064516128,0.03273832285714284,0.06509951277777777,0.15857164999999998,0.007609728421052611,0.06566490548387095,0.025447939428571417,0.05137849081081079,0.08362344290322579,0.016598858437499985,0.037101527419354824,0.021558070967741913,0.04079686028571426,0.06828489064516127,0.027472387647058807,0.028786959444444433,0.028595458372093013,0.03308174411764705,0.06919031774193546
o1_gr_e04,A,0,0.016359547567567592,0.025115316842105287,0.03998362188679246,0.060102286666666706,0.20999483870967744,0.09447312903225807,0.08166553741935485,0.030860935483870987,0.04808227000000002,0.15227633967741935,0.006147785142857159,0.09506492870967743,0.0162835082857143,0.040225087804878074,0.08672529838709679,0.05636769741935485,0.04455341000000002,0.01587861812500002,0.03290371641025643,0.09209352193548388,0.017610974864864883,0.029374366756756764,0.03202502891891894,0.03009057131578949,0.06766699322580647
o1_gr_e05,A,0,0.01626075757575755,0.019968566749999972,0.03341456162790695,0.05251129524999998,0.17355023903225805,0.07238540645161289,0.07264476645161289,0.02275752374999997,0.05195325161290319,0.10154126974358971,0.005600134193548353,0.05623834774193546,0.01778980677419352,0.04690119659090908,0.09249206292682924,0.01702143363636361,0.02286980935483868,0.022121864838709652,0.04054245659574465,0.09361966483870968,0.033986062749999976,0.0349483645238095,0.029436237714285683,0.03345318857142854,0.09387644419354838
o1_gr_e06,A,0,0.027753160749999985,0.028357929729729715,0.04215204089285712,0.07026463499999999,0.13797108419354842,0.022715691290322564,0.0899479951612903,0.025923329444444428,0.06732926679999998,0.1285940887096774,0.006209352432432412,0.09513355483870967,0.016000871176470567,0.0489268627083333,0.1000442947222222,0.013688863333333315,0.06634568967741934,0.02778298580645159,0.030217012653061207,0.09356967483870968,0.023129288749999977,0.026073320645161265,0.027009223055555545,0.022525744210526305,0.10027077290322581
o1_gr_e07,A,0,0.038690660322580624,0.022445955714285686,0.04694633314285712,0.07116616219512192,0.15175058129032257,0.09603415387096774,0.04976562129032256,0.044677377575757536,0.07618843499999997,0.15764081258064516,0.04316721225806449,0.02234808111111109,0.05234523333333333,0.08900230860465112,0.18240004967741932,0.06209685290322579,0.027215818780487785,0.061614412045454564,0.09830941666666664,0.23240350741935484,0.02094467243243241,0.0381217070588235,0.07611591322580645,0.10963240911111105,0.25
o1_gr_e08,A,0,0.1247721035483871,0.07415637580645161,0.07203999064516128,0.07716891258064516,0.08736248838709676,0.12443186741935484,0.09524400193548387,0.034687016774193544,0.06185101161290322,0.057659627741935476,0.013448879677419354,0.02764154806451612,0.027705586153846155,0.049393707941176465,0.09091627967741936,0.02949017999999999,0.019517451470588226,0.04126553604651162,0.06566479216216216,0.13049755419354836,0.027817892,0.03582151,0.060590429824561386,0.08745385474576273,0.15159582
o1_gr_e09,A,0,0.07398261258064516,0.04533753709677418,0.10071535258064515,0.04634064774193547,0.07865933838709675,0.08705555193548387,0.09558762870967741,0.07701760903225806,0.030057289705882336,0.05308896967741933,0.006506982499999982,0.035136522903225796,0.025032028918918904,0.04541714487804877,0.09373253354838709,0.013890999999999983,0.0189479737142857,0.0412904857142857,0.06296985222222223,0.12686985870967743,0.023590395789473674,0.034693305892857136,0.06297769533333332,0.08617951196428571,0.16465422483870967
o1_gr_e10,A,0,0.028694947804878086,0.03782043404761907,0.04358146435897437,0.06942129255319152,0.2181330916129032,0.08381405677419357,0.020028078387096797,0.0388106829411765,0.08696473980769232,0.24601735322580645,0.007854070322580668,0.022619809354838732,0.04236886565217394,0.09155133814814817,0.20819717419354838,0.06627775677419356,0.0168133529411765,0.039395810540540546,0.06836861957446813,0.18140389870967744,0.039727592580645184,0.024056419534883744,0.04934610595238098,0.07027914,0.16982910516129032
o1_gr_e11,A,0,0.018207444687500022,0.023363188205128223,0.04629057200000003,0.08722197600000003,0.23188985161290324,0.06135351677419357,0.07182487451612905,0.047659553589743615,0.10302931019607843,0.25,0.00922880846153848,0.03947210419354841,0.06034979646153849,0.1315298914893617,0.25,0.015769108437500023,0.024656314473684233,0.06288341909090911,0.11401224136363636,0.25,0.02183747000000002,0.03854757860000004,0.07363293,0.11199654840909093,0.24605418129032258
o1_gr_e12,A,0,0.018292017878787887,0.02180728258064517,0.03380028592592594,0.07905025893617021,0.25,0.044424458064516135,0.09656587580645162,0.033568599714285725,0.09052135458333337,0.25,0.007261014324324336,0.05832428806451613,0.034455157272727285,0.08520832340000002,0.20628399322580646,0.024489917096774203,0.01569898676470589,0.031840107297297304,0.06575973560000001,0.14389151451612905,0.026400405555555576,0.027737083000000006,0.04323976409090909,0.05733445073170732,0.13002438870967742
o2-01_gr_e01,B,1,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.024894838461538487,0.10507804024390245,0.10801556707317077,0.09971101073170734,0.1923692929268293,0.135207855625,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28
o2-01_gr_e02,B,1,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.023215626199999992,0.04366647463414633,0.10837148024390245,0.14852181195121952,0.1804694268292683,0.11839241258064512,0.15701033437499998,0.2564293731707317,0.28,0.28,0.28,0.28,0.28,0.28,0.28
o2-01_gr_e03,B,1,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.02481495499999999,0.12276084829268294,0.10828676585365854,0.1488331992682927,0.21532415829268295,0.2502403763414634,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28
