File,Class_GT,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25
o1_gr_can ,Z,0.011,0.012,0.012,0.01,0.012,0.011,0.01,0.012,0.01,0.012,0.007,0.011,0.013,0.009,0.012,0.012,0.013,0.014,0.01,0.014,0.013,0.016,0.017,0.014,0.018
o1_gr_e01 ,B,0.499,0.149,0.058,0.074,0.451,0.034,0.03,0.042,0.061,0.086,0.013,0.017,0.033,0.06,0.096,0.018,0.027,0.062,0.093,0.52,0.028,0.055,0.164,0.532,1
o1_gr_e02 ,A,0.148,0.195,0.209,0.068,0.148,0.032,0.035,0.041,0.058,0.086,0.011,0.017,0.033,0.061,0.295,0.021,0.021,0.04,0.071,0.227,0.022,0.031,0.054,0.079,0.345
o1_gr_e03 ,C,0.282,0.051,0.097,0.123,1,0.025,0.038,0.069,0.117,0.95,0.013,0.02,0.047,0.108,0.914,0.027,0.029,0.05,0.098,0.826,0.034,0.047,0.068,0.095,0.644
o1_gr_e04 ,A,0.187,0.037,0.042,0.087,0.68,0.024,0.024,0.037,0.091,0.667,0.011,0.017,0.038,0.087,0.561,0.011,0.018,0.045,0.085,0.469,0.008,0.023,0.058,0.1,0.525
o1_gr_e05 ,B,0.435,0.169,0.057,0.103,0.679,0.02,0.019,0.05,0.09,0.688,0.011,0.017,0.041,0.088,0.911,0.018,0.02,0.053,0.101,1,0.019,0.033,0.087,0.127,1
o1_gr_e06 ,A,0.129,0.034,0.048,0.068,0.157,0.019,0.022,0.036,0.061,0.096,0.011,0.017,0.034,0.067,0.327,0.019,0.023,0.044,0.079,0.519,0.023,0.035,0.06,0.093,0.645
o1_gr_e07 ,C,0.055,0.051,0.091,0.82,1,0.035,0.033,0.087,0.161,1,0.012,0.021,0.069,0.139,1,0.03,0.029,0.059,0.117,0.975,0.044,0.054,0.06,0.098,0.741
o1_gr_e08 ,A,0.008,0.022,0.068,0.089,1,0.008,0.016,0.047,0.07,0.919,0.01,0.015,0.034,0.061,0.861,0.02,0.026,0.047,0.07,0.763,0.035,0.044,0.199,0.077,0.777
o1_gr_e09 ,B,0.03,0.042,0.06,0.068,0.358,0.02,0.024,0.038,0.058,0.109,0.011,0.017,0.034,0.067,0.499,0.015,0.022,0.07,0.102,1,0.023,0.038,0.101,0.784,1
o1_gr_e10 ,A,0.035,0.044,0.05,0.088,0.65,0.02,0.027,0.04,0.083,0.611,0.011,0.018,0.04,0.089,0.715,0.019,0.026,0.049,0.093,0.749,0.026,0.038,0.061,0.097,0.787
o1_gr_e11 ,C,0.446,0.189,0.078,0.405,1,0.031,0.033,0.069,0.14,1,0.01,0.021,0.065,0.126,1,0.215,0.028,0.06,0.116,0.975,0.22,0.04,0.074,0.11,0.767
o1_gr_e12 ,C,0.225,0.022,0.05,0.107,0.654,0.016,0.016,0.04,0.088,0.324,0.01,0.016,0.033,0.066,0.275,0.018,0.022,0.038,0.061,0.188,0.027,0.036,0.059,0.079,0.412
