File,Class_GT_n,label
o1_gr_can,0,3
o1_gr_e01,1,0
o1_gr_e02,1,0
o1_gr_e03,2,3
o1_gr_e04,2,3
o1_gr_e05,2,3
o1_gr_e06,2,3
o1_gr_e07,3,0
o1_gr_e08,3,3
o1_gr_e09,3,3
o1_gr_e10,1,0
o1_gr_e11,1,0
o1_gr_e12,2,0
o2_gr_can,0,3
o2_gr_e01,5,5
o2_gr_e02,5,5
o2_gr_e03,5,5
o2_gr_e04,4,2
o2_gr_e05,4,2
o2_gr_e06,4,2
o2_gr_e07,4,2
o2_gr_e08,4,2
o2_gr_e09,4,2
o2_gr_e10,4,4
o2_gr_e11,4,4
o2_gr_e12,4,4
o3_gr_can,0,3
o3_gr_e01,4,1
o3_gr_e02,4,1
o3_gr_e03,4,1
o3_gr_e04,5,1
o3_gr_e05,4,1
o3_gr_e06,4,1
o3_gr_e07,5,1
o3_gr_e08,4,1
o3_gr_e09,5,1
o3_gr_e10,4,1
o3_gr_e11,4,1
o3_gr_e12,4,1
o4_gr_can,0,3
o4_gr_e01,1,3
o4_gr_e02,1,3
o4_gr_e03,1,3
o4_gr_e04,3,3
o4_gr_e05,3,3
o4_gr_e06,3,3
o4_gr_e07,1,3
o4_gr_e08,1,3
o4_gr_e09,1,3
o4_gr_e10,2,3
o4_gr_e11,2,3
o4_gr_e12,2,3
o5_gr_can,0,3
o5_gr_e01,4,1
o5_gr_e02,4,1
o5_gr_e03,4,1
o5_gr_e04,4,1
o5_gr_e05,4,1
o5_gr_e06,4,1
o5_gr_e07,3,1
o5_gr_e08,4,1
o5_gr_e09,4,1
o5_gr_e10,4,1
o5_gr_e11,4,1
o5_gr_e12,4,1
