File,Class_GT,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16
o1_gr_can,A,0.028,0.026,0.025,0.025,0.018,0.02,0.024,0.026,0.018,0.02,0.025,0.026,0.018,0.02,0.015,0.019
o1_gr_e01,B,0.06,0.037,0.062,0.106,0.058,0.029,0.06,0.103,0.033,0.023,0.061,0.101,0.027,0.041,0.063,0.09
o1_gr_e02,B,0.044,0.016,0.052,0.085,0.036,0.023,0.048,0.083,0.018,0.023,0.051,0.083,0.041,0.049,0.059,0.08
o1_gr_e03,B,0.055,0.035,0.076,0.119,0.025,0.041,0.054,0.104,0.019,0.032,0.04,0.089,0.026,0.027,0.031,0.063
o1_gr_e04,B,0.027,0.031,0.054,0.097,0.036,0.031,0.04,0.091,0.035,0.035,0.029,0.078,0.018,0.031,0.028,0.064
o1_gr_e05,B,0.041,0.027,0.045,0.104,0.037,0.037,0.04,0.094,0.024,0.038,0.033,0.089,0.031,0.031,0.029,0.073
o1_gr_e06,B,0.034,0.033,0.061,0.123,0.029,0.036,0.052,0.114,0.032,0.05,0.031,0.092,0.025,0.024,0.022,0.082
o1_gr_e07,B,0.063,0.041,0.066,0.091,0.06,0.032,0.06,0.101,0.057,0.028,0.073,0.113,0.033,0.041,0.089,0.118
o1_gr_e08,B,0.066,0.056,0.056,0.065,0.048,0.035,0.036,0.063,0.026,0.026,0.049,0.085,0.026,0.041,0.076,0.096
o1_gr_e09,B,0.058,0.049,0.056,0.062,0.039,0.037,0.03,0.061,0.025,0.021,0.048,0.081,0.022,0.042,0.077,0.096
o1_gr_e10,B,0.053,0.039,0.052,0.103,0.055,0.035,0.062,0.117,0.05,0.034,0.055,0.103,0.054,0.027,0.058,0.092
o1_gr_e11,B,0.048,0.033,0.077,0.153,0.037,0.031,0.099,0.159,0.025,0.04,0.113,0.159,0.022,0.052,0.102,0.156
o1_gr_e12,B,0.047,0.03,0.067,0.123,0.031,0.035,0.073,0.122,0.023,0.025,0.062,0.11,0.026,0.031,0.052,0.092
o2_gr_can,A,0.022,0.02,0.021,0.019,0.018,0.022,0.023,0.02,0.02,0.021,0.021,0.02,0.021,0.021,0.021,0.021
o2_gr_e01,D,0.146,0.109,0.198,0.199,0.04,0.082,0.153,0.199,0.115,0.069,0.085,0.191,0.199,0.174,0.126,0.188
o2_gr_e02,D,0.097,0.074,0.11,0.153,0.048,0.048,0.118,0.153,0.089,0.059,0.1,0.153,0.153,0.15,0.131,0.153
o2_gr_e03,D,0.122,0.086,0.164,0.166,0.03,0.068,0.133,0.166,0.108,0.082,0.097,0.158,0.166,0.162,0.142,0.161
